,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
5389,234,N,ADV,VD,N,WH,trial,also,involved,persons,who,N_ADV,ADV_N,N_WH,VN
5390,234,ADV,VD,N,WH,V,also,involved,persons,who,had,ADV_VD,VD_WH,WH_V,N
5391,234,VD,N,WH,V,V,involved,persons,who,had,been,VD_N,N_V,V_V,WH
5392,234,N,WH,V,V,VN,persons,who,had,been,subpenaed,N_WH,WH_V,V_VN,V
5393,234,WH,V,V,VN,",",who,had,been,subpenaed,",",WH_V,V_VN,"VN_,",V
5394,234,V,V,VN,",",PRO,had,been,subpenaed,",",he,V_V,"V_,",",_PRO",N
5395,234,V,VN,",",PRO,MOD,been,subpenaed,",",he,would,V_VN,VN_PRO,PRO_MOD,","
5396,234,VN,",",PRO,MOD,V,subpenaed,",",he,would,dismiss,"VN_,",",_MOD",MOD_V,PRO
5397,234,",",PRO,MOD,V,PRO,",",he,would,dismiss,them,",_PRO",PRO_V,V_PRO,V
5398,234,PRO,MOD,V,PRO,.,he,would,dismiss,them,.,PRO_MOD,MOD_PRO,PRO_.,V
5399,234,MOD,V,PRO,.,end,would,dismiss,them,.,,MOD_V,V_.,._end,PRO
5400,234,V,PRO,.,end,end,dismiss,them,.,,,V_PRO,PRO_end,end_end,.
6607,295,start,start,N,N,NP,,,House,Speaker,Sam,start_start,start_N,N_NP,NP
6608,295,start,N,N,NP,NP,,House,Speaker,Sam,Rayburn,start_N,N_NP,NP_NP,N
6609,295,N,N,NP,NP,(,House,Speaker,Sam,Rayburn,(,N_N,N_NP,NP_(,NP
6610,295,N,NP,NP,(,NP,Speaker,Sam,Rayburn,(,D.,N_NP,NP_(,(_NP,NP
6611,295,NP,NP,(,NP,",",Sam,Rayburn,(,D.,",",NP_NP,NP_NP,"NP_,",","
6612,295,NP,(,NP,",",NP,Rayburn,(,D.,",",Tex.,NP_(,"(_,",",_NP",NP
6613,295,(,NP,",",NP,),(,D.,",",Tex.,),(_NP,NP_NP,NP_),","
6614,295,NP,",",NP,),VD,D.,",",Tex.,),called,"NP_,",",_)",)_VD,NP
6615,295,",",NP,),VD,DET,",",Tex.,),called,the,",_NP",NP_VD,VD_DET,","
6616,295,NP,),VD,DET,NP,Tex.,),called,the,Kennedy,NP_),)_DET,DET_NP,VD
6617,295,),VD,DET,NP,N,),called,the,Kennedy,program,)_VD,VD_NP,NP_N,DET
6618,295,VD,DET,NP,N,``,called,the,Kennedy,program,``,VD_DET,DET_N,N_``,NP
6619,295,DET,NP,N,``,DET,the,Kennedy,program,``,a,DET_NP,NP_``,``_DET,N
6620,295,NP,N,``,DET,DET,Kennedy,program,``,a,mighty,NP_N,N_DET,DET_DET,P
6621,295,N,``,DET,DET,ADJ,program,``,a,mighty,fine,N_``,``_DET,DET_ADJ,DET
6622,295,``,DET,DET,ADJ,N,``,a,mighty,fine,thing,``_DET,DET_ADJ,ADJ_N,ADJ
6623,295,DET,DET,ADJ,N,'',a,mighty,fine,thing,'',DET_DET,DET_N,N_'',ADJ
6624,295,DET,ADJ,N,'',",",mighty,fine,thing,'',",",DET_ADJ,ADJ_'',"''_,",N
6625,295,ADJ,N,'',",",CNJ,fine,thing,'',",",but,ADJ_N,"N_,",",_CNJ",''
6626,295,N,'',",",CNJ,VD,thing,'',",",but,made,N_'',''_CNJ,CNJ_VD,","
6627,295,'',",",CNJ,VD,DET,'',",",but,made,no,"''_,",",_VD",VD_DET,CNJ
6628,295,",",CNJ,VD,DET,N,",",but,made,no,prediction,",_CNJ",CNJ_DET,DET_N,VD
6629,295,CNJ,VD,DET,N,P,but,made,no,prediction,on,CNJ_VD,VD_N,N_P,DET
6630,295,VD,DET,N,P,PRO,made,no,prediction,on,its,VD_DET,DET_P,P_PRO,N
6631,295,DET,N,P,PRO,N,no,prediction,on,its,fate,DET_N,N_PRO,PRO_N,P
6632,295,N,P,PRO,N,P,prediction,on,its,fate,in,N_P,P_N,N_P,PRO
6633,295,P,PRO,N,P,DET,on,its,fate,in,the,P_PRO,PRO_P,P_DET,N
6634,295,PRO,N,P,DET,N,its,fate,in,the,House,PRO_N,N_DET,DET_N,P
6635,295,N,P,DET,N,.,fate,in,the,House,.,N_P,P_N,N_.,DET
6636,295,P,DET,N,.,end,in,the,House,.,,P_DET,DET_.,._end,N
6637,295,DET,N,.,end,end,the,House,.,,,DET_N,N_end,end_end,.
10874,458,start,start,``,PRO,V,,,``,It,has,start_start,start_PRO,PRO_V,``
10875,458,start,``,PRO,V,VN,,``,It,has,become,start_``,``_V,V_VN,PRO
10876,458,``,PRO,V,VN,PRO,``,It,has,become,our,``_PRO,PRO_VN,VN_PRO,V
10877,458,PRO,V,VN,PRO,N,It,has,become,our,responsibility,PRO_V,V_PRO,PRO_N,V
10878,458,V,VN,PRO,N,CNJ,has,become,our,responsibility,and,V_VN,VN_N,N_CNJ,PRO
10879,458,VN,PRO,N,CNJ,PRO,become,our,responsibility,and,I,VN_PRO,PRO_CNJ,CNJ_PRO,N
10880,458,PRO,N,CNJ,PRO,V,our,responsibility,and,I,hope,PRO_N,N_PRO,PRO_V,CNJ
10881,458,N,CNJ,PRO,V,CNJ,responsibility,and,I,hope,that,N_CNJ,CNJ_V,V_CNJ,PRO
10882,458,CNJ,PRO,V,CNJ,DET,and,I,hope,that,the,CNJ_PRO,PRO_CNJ,CNJ_DET,V
10883,458,PRO,V,CNJ,DET,N,I,hope,that,the,Citizens,PRO_V,V_DET,DET_N,CNJ
10884,458,V,CNJ,DET,N,N,hope,that,the,Citizens,Group,V_CNJ,CNJ_N,N_N,DET
10885,458,CNJ,DET,N,N,MOD,that,the,Citizens,Group,will,CNJ_DET,DET_N,N_MOD,N
10886,458,DET,N,N,MOD,V,the,Citizens,Group,will,spearhead,DET_N,N_MOD,MOD_V,N
10887,458,N,N,MOD,V,DET,Citizens,Group,will,spearhead,the,N_N,N_V,V_DET,N
10888,458,N,MOD,V,DET,N,Group,will,spearhead,the,movement,N_MOD,MOD_DET,DET_N,V
10889,458,MOD,V,DET,N,'',will,spearhead,the,movement,'',MOD_V,V_N,N_'',DET
10890,458,V,DET,N,'',.,spearhead,the,movement,'',.,V_DET,DET_'',''_.,N
10891,458,DET,N,'',.,end,the,movement,'',.,,DET_N,N_.,._end,''
10892,458,N,'',.,end,end,movement,'',.,,,N_'',''_end,end_end,.
12890,539,start,start,P,PRO,DET,,,In,his,only,start_start,start_PRO,PRO_DET,P
12891,539,start,P,PRO,DET,N,,In,his,only,attack,start_P,P_DET,DET_N,PRO
12892,539,P,PRO,DET,N,P,In,his,only,attack,on,P_PRO,PRO_N,N_P,DET
12893,539,PRO,DET,N,P,DET,his,only,attack,on,the,PRO_DET,DET_P,P_DET,N
12894,539,DET,N,P,DET,NP,only,attack,on,the,Republicans,DET_N,N_DET,DET_NP,P
12895,539,N,P,DET,NP,",",attack,on,the,Republicans,",",N_P,P_NP,"NP_,",DET
12896,539,P,DET,NP,",",NP,on,the,Republicans,",",Hughes,P_DET,"DET_,",",_NP",NP
12897,539,DET,NP,",",NP,VD,the,Republicans,",",Hughes,said,DET_NP,NP_NP,NP_VD,","
12898,539,NP,",",NP,VD,",",Republicans,",",Hughes,said,",","NP_,",",_VD","VD_,",NP
12899,539,",",NP,VD,",",``,",",Hughes,said,",",``,",_NP","NP_,",",_``",VD
12900,539,NP,VD,",",``,DET,Hughes,said,",",``,The,NP_VD,VD_``,``_DET,","
12901,539,VD,",",``,DET,NUM,said,",",``,The,three,"VD_,",",_DET",DET_NUM,``
12902,539,",",``,DET,NUM,NP,",",``,The,three,Republican,",_``",``_NUM,NUM_NP,DET
12903,539,``,DET,NUM,NP,N,``,The,three,Republican,candidates,``_DET,DET_NP,NP_N,NUM
12904,539,DET,NUM,NP,N,P,The,three,Republican,candidates,for,DET_NUM,NUM_N,N_P,ADJ
12905,539,NUM,NP,N,P,N,three,Republican,candidates,for,governor,NUM_NP,NP_P,P_N,N
12906,539,NP,N,P,N,V,Republican,candidates,for,governor,are,NP_N,N_N,N_V,P
12907,539,N,P,N,V,VG,candidates,for,governor,are,tripping,N_P,P_V,V_VG,N
12908,539,P,N,V,VG,P,for,governor,are,tripping,over,P_N,N_VG,VG_P,V
12909,539,N,V,VG,P,PRO,governor,are,tripping,over,their,N_V,V_P,P_PRO,DET
12910,539,V,VG,P,PRO,N,are,tripping,over,their,feet,V_VG,VG_PRO,PRO_N,P
12911,539,VG,P,PRO,N,P,tripping,over,their,feet,for,VG_P,P_N,N_P,PRO
12912,539,P,PRO,N,P,ADJ,over,their,feet,for,popular,P_PRO,PRO_P,P_ADJ,N
12913,539,PRO,N,P,ADJ,N,their,feet,for,popular,slogans,PRO_N,N_ADJ,ADJ_N,P
12914,539,N,P,ADJ,N,TO,feet,for,popular,slogans,to,N_P,P_N,N_TO,DET
12915,539,P,ADJ,N,TO,V,for,popular,slogans,to,win,P_ADJ,ADJ_TO,TO_V,N
12916,539,ADJ,N,TO,V,DET,popular,slogans,to,win,the,ADJ_N,N_V,V_DET,TO
12917,539,N,TO,V,DET,N,slogans,to,win,the,primary,N_TO,TO_DET,DET_N,V
12918,539,TO,V,DET,N,.,to,win,the,primary,.,TO_V,V_N,N_.,DET
12919,539,V,DET,N,.,end,win,the,primary,.,,V_DET,DET_.,._end,N
12920,539,DET,N,.,end,end,the,primary,.,,,DET_N,N_end,end_end,.
13070,547,start,start,``,PRO,MOD,,,``,We,must,start_start,start_PRO,PRO_MOD,``
13071,547,start,``,PRO,MOD,V,,``,We,must,keep,start_``,``_MOD,MOD_V,PRO
13072,547,``,PRO,MOD,V,DET,``,We,must,keep,the,``_PRO,PRO_V,V_DET,MOD
13073,547,PRO,MOD,V,DET,N,We,must,keep,the,bloodstream,PRO_MOD,MOD_DET,DET_N,V
13074,547,MOD,V,DET,N,P,must,keep,the,bloodstream,of,MOD_V,V_N,N_P,DET
13075,547,V,DET,N,P,ADJ,keep,the,bloodstream,of,New,V_DET,DET_P,P_ADJ,N
13076,547,DET,N,P,ADJ,NP,the,bloodstream,of,New,Jersey,DET_N,N_ADJ,ADJ_NP,P
13077,547,N,P,ADJ,NP,ADJ,bloodstream,of,New,Jersey,clean,N_P,P_NP,NP_ADJ,ADJ
13078,547,P,ADJ,NP,ADJ,'',of,New,Jersey,clean,'',P_ADJ,ADJ_ADJ,ADJ_'',N
13079,547,ADJ,NP,ADJ,'',",",New,Jersey,clean,'',",",ADJ_NP,NP_'',"''_,",ADJ
13080,547,NP,ADJ,'',",",DET,Jersey,clean,'',",",the,NP_ADJ,"ADJ_,",",_DET",''
13081,547,ADJ,'',",",DET,DET,clean,'',",",the,former,ADJ_'',''_DET,DET_DET,","
13082,547,'',",",DET,DET,ADJ,'',",",the,former,Superior,"''_,",",_DET",DET_ADJ,DET
13083,547,",",DET,DET,ADJ,N,",",the,former,Superior,Court,",_DET",DET_ADJ,ADJ_N,DET
13084,547,DET,DET,ADJ,N,N,the,former,Superior,Court,judge,DET_DET,DET_N,N_N,ADJ
13085,547,DET,ADJ,N,N,VD,former,Superior,Court,judge,said,DET_ADJ,ADJ_N,N_VD,N
13086,547,ADJ,N,N,VD,.,Superior,Court,judge,said,.,ADJ_N,N_VD,VD_.,N
13087,547,N,N,VD,.,end,Court,judge,said,.,,N_N,N_.,._end,VD
13088,547,N,VD,.,end,end,judge,said,.,,,N_VD,VD_end,end_end,.
14024,589,start,start,``,PRO,V,,,``,It,didn't,start_start,start_PRO,PRO_V,``
14025,589,start,``,PRO,V,V,,``,It,didn't,come,start_``,``_V,V_V,PRO
14026,589,``,PRO,V,V,P,``,It,didn't,come,from,``_PRO,PRO_V,V_P,V
14027,589,PRO,V,V,P,PRO,It,didn't,come,from,me,PRO_V,V_P,P_PRO,V
14028,589,V,V,P,PRO,.,didn't,come,from,me,.,V_V,V_PRO,PRO_.,P
14029,589,V,P,PRO,.,end,come,from,me,.,,V_P,P_.,._end,PRO
14030,589,P,PRO,.,end,end,from,me,.,,,P_PRO,PRO_end,end_end,.
15474,671,start,start,--,DET,NUM,,,--,The,three,start_start,start_DET,DET_NUM,--
15475,671,start,--,DET,NUM,N,,--,The,three,leaders,start_--,--_NUM,NUM_N,DET
15476,671,--,DET,NUM,N,P,--,The,three,leaders,of,--_DET,DET_N,N_P,NUM
15477,671,DET,NUM,N,P,NP,The,three,leaders,of,Laos,DET_NUM,NUM_P,P_NP,N
15478,671,NUM,N,P,NP,VD,three,leaders,of,Laos,agreed,NUM_N,N_NP,NP_VD,P
15479,671,N,P,NP,VD,N,leaders,of,Laos,agreed,today,N_P,P_VD,VD_N,NP
15480,671,P,NP,VD,N,TO,of,Laos,agreed,today,to,P_NP,NP_N,N_TO,VD
15481,671,NP,VD,N,TO,V,Laos,agreed,today,to,begin,NP_VD,VD_TO,TO_V,N
15482,671,VD,N,TO,V,N,agreed,today,to,begin,negotiations,VD_N,N_V,V_N,TO
15483,671,N,TO,V,N,N,today,to,begin,negotiations,tomorrow,N_TO,TO_N,N_N,V
15484,671,TO,V,N,N,P,to,begin,negotiations,tomorrow,on,TO_V,V_N,N_P,N
15485,671,V,N,N,P,VG,begin,negotiations,tomorrow,on,forming,V_N,N_P,P_VG,N
15486,671,N,N,P,VG,DET,negotiations,tomorrow,on,forming,a,N_N,N_VG,VG_DET,P
15487,671,N,P,VG,DET,N,tomorrow,on,forming,a,coalition,N_P,P_DET,DET_N,VG
15488,671,P,VG,DET,N,N,on,forming,a,coalition,government,P_VG,VG_N,N_N,DET
15489,671,VG,DET,N,N,WH,forming,a,coalition,government,that,VG_DET,DET_N,N_WH,N
15490,671,DET,N,N,WH,MOD,a,coalition,government,that,would,DET_N,N_WH,WH_MOD,N
15491,671,N,N,WH,MOD,V,coalition,government,that,would,unite,N_N,N_MOD,MOD_V,CNJ
15492,671,N,WH,MOD,V,DET,government,that,would,unite,the,N_WH,WH_V,V_DET,MOD
15493,671,WH,MOD,V,DET,ADJ,that,would,unite,the,war-ridden,WH_MOD,MOD_DET,DET_ADJ,V
15494,671,MOD,V,DET,ADJ,N,would,unite,the,war-ridden,kingdom,MOD_V,V_ADJ,ADJ_N,DET
15495,671,V,DET,ADJ,N,.,unite,the,war-ridden,kingdom,.,V_DET,DET_N,N_.,N
15496,671,DET,ADJ,N,.,end,the,war-ridden,kingdom,.,,DET_ADJ,ADJ_.,._end,N
15497,671,ADJ,N,.,end,end,war-ridden,kingdom,.,,,ADJ_N,N_end,end_end,.
15967,697,start,start,VG,DET,N,,,Assuming,the,weather,start_start,start_DET,DET_N,VG
15968,697,start,VG,DET,N,V,,Assuming,the,weather,is,start_VG,VG_N,N_V,DET
15969,697,VG,DET,N,V,DET,Assuming,the,weather,is,halfway,VG_DET,DET_V,V_DET,N
15970,697,DET,N,V,DET,ADJ,the,weather,is,halfway,decent,DET_N,N_DET,DET_ADJ,V
15971,697,N,V,DET,ADJ,DET,weather,is,halfway,decent,that,N_V,V_ADJ,ADJ_DET,ADJ
15972,697,V,DET,ADJ,DET,N,is,halfway,decent,that,day,V_DET,DET_DET,DET_N,N
15973,697,DET,ADJ,DET,N,",",halfway,decent,that,day,",",DET_ADJ,ADJ_N,"N_,",DET
15974,697,ADJ,DET,N,",",N,decent,that,day,",",hundreds,ADJ_DET,"DET_,",",_N",N
15975,697,DET,N,",",N,P,that,day,",",hundreds,of,DET_N,N_N,N_P,","
15976,697,N,",",N,P,N,day,",",hundreds,of,thousands,"N_,",",_P",P_N,N
15977,697,",",N,P,N,P,",",hundreds,of,thousands,of,",_N",N_N,N_P,P
15978,697,N,P,N,P,N,hundreds,of,thousands,of,persons,N_P,P_P,P_N,N
15979,697,P,N,P,N,MOD,of,thousands,of,persons,will,P_N,N_N,N_MOD,P
15980,697,N,P,N,MOD,V,thousands,of,persons,will,mass,N_P,P_MOD,MOD_V,N
15981,697,P,N,MOD,V,P,of,persons,will,mass,along,P_N,N_V,V_P,MOD
15982,697,N,MOD,V,P,DET,persons,will,mass,along,this,N_MOD,MOD_P,P_DET,V
15983,697,MOD,V,P,DET,N,will,mass,along,this,thoroughfare,MOD_V,V_DET,DET_N,P
15984,697,V,P,DET,N,CNJ,mass,along,this,thoroughfare,as,V_P,P_N,N_CNJ,DET
15985,697,P,DET,N,CNJ,N,along,this,thoroughfare,as,President,P_DET,DET_CNJ,CNJ_N,N
15986,697,DET,N,CNJ,N,NP,this,thoroughfare,as,President,John,DET_N,N_N,N_NP,P
15987,697,N,CNJ,N,NP,NP,thoroughfare,as,President,John,F.,N_CNJ,CNJ_NP,NP_NP,N
15988,697,CNJ,N,NP,NP,NP,as,President,John,F.,Kennedy,CNJ_N,N_NP,NP_NP,NP
15989,697,N,NP,NP,NP,CNJ,President,John,F.,Kennedy,and,N_NP,NP_NP,NP_CNJ,NP
15990,697,NP,NP,NP,CNJ,VG,John,F.,Kennedy,and,retiring,NP_NP,NP_CNJ,CNJ_VG,NP
15991,697,NP,NP,CNJ,VG,N,F.,Kennedy,and,retiring,President,NP_NP,NP_VG,VG_N,CNJ
15992,697,NP,CNJ,VG,N,NP,Kennedy,and,retiring,President,Dwight,NP_CNJ,CNJ_N,N_NP,VG
15993,697,CNJ,VG,N,NP,NP,and,retiring,President,Dwight,D.,CNJ_VG,VG_NP,NP_NP,N
15994,697,VG,N,NP,NP,NP,retiring,President,Dwight,D.,Eisenhower,VG_N,N_NP,NP_NP,NP
15995,697,N,NP,NP,NP,V,President,Dwight,D.,Eisenhower,leave,N_NP,NP_NP,NP_V,NP
15996,697,NP,NP,NP,V,N,Dwight,D.,Eisenhower,leave,Capitol,NP_NP,NP_V,V_N,NP
15997,697,NP,NP,V,N,N,D.,Eisenhower,leave,Capitol,Hill,NP_NP,NP_N,N_N,V
15998,697,NP,V,N,N,VG,Eisenhower,leave,Capitol,Hill,following,NP_V,V_N,N_VG,N
15999,697,V,N,N,VG,DET,leave,Capitol,Hill,following,the,V_N,N_VG,VG_DET,N
16000,697,N,N,VG,DET,ADJ,Capitol,Hill,following,the,oath-taking,N_N,N_DET,DET_ADJ,P
16001,697,N,VG,DET,ADJ,N,Hill,following,the,oath-taking,ceremonies,N_VG,VG_ADJ,ADJ_N,DET
16002,697,VG,DET,ADJ,N,CNJ,following,the,oath-taking,ceremonies,and,VG_DET,DET_N,N_CNJ,ADJ
16003,697,DET,ADJ,N,CNJ,V,the,oath-taking,ceremonies,and,ride,DET_ADJ,ADJ_CNJ,CNJ_V,N
16004,697,ADJ,N,CNJ,V,P,oath-taking,ceremonies,and,ride,down,ADJ_N,N_V,V_P,CNJ
16005,697,N,CNJ,V,P,DET,ceremonies,and,ride,down,this,N_CNJ,CNJ_P,P_DET,N
16006,697,CNJ,V,P,DET,ADJ,and,ride,down,this,historic,CNJ_V,V_DET,DET_ADJ,P
16007,697,V,P,DET,ADJ,ADJ,ride,down,this,historic,ceremonial,V_P,P_ADJ,ADJ_ADJ,DET
16008,697,P,DET,ADJ,ADJ,N,down,this,historic,ceremonial,route,P_DET,DET_ADJ,ADJ_N,ADJ
16009,697,DET,ADJ,ADJ,N,.,this,historic,ceremonial,route,.,DET_ADJ,ADJ_N,N_.,N
16010,697,ADJ,ADJ,N,.,end,historic,ceremonial,route,.,,ADJ_ADJ,ADJ_.,._end,N
16011,697,ADJ,N,.,end,end,ceremonial,route,.,,,ADJ_N,N_end,end_end,P
19805,883,start,start,NP,V,V,,,Gladden,had,been,start_start,start_V,V_V,NP
19806,883,start,NP,V,V,DET,,Gladden,had,been,the,start_NP,NP_V,V_DET,V
19807,883,NP,V,V,DET,N,Gladden,had,been,the,target,NP_V,V_DET,DET_N,V
19808,883,V,V,DET,N,P,had,been,the,target,of,V_V,V_N,N_P,DET
19809,883,V,DET,N,P,VG,been,the,target,of,threatening,V_DET,DET_P,P_VG,N
19810,883,DET,N,P,VG,N,the,target,of,threatening,telephone,DET_N,N_VG,VG_N,P
19811,883,N,P,VG,N,N,target,of,threatening,telephone,calls,N_P,P_N,N_N,ADJ
19812,883,P,VG,N,N,P,of,threatening,telephone,calls,in,P_VG,VG_N,N_P,N
19813,883,VG,N,N,P,ADJ,threatening,telephone,calls,in,recent,VG_N,N_P,P_ADJ,N
19814,883,N,N,P,ADJ,N,telephone,calls,in,recent,months,N_N,N_ADJ,ADJ_N,P
19815,883,N,P,ADJ,N,CNJ,calls,in,recent,months,and,N_P,P_N,N_CNJ,ADJ
19816,883,P,ADJ,N,CNJ,ADV,in,recent,months,and,reportedly,P_ADJ,ADJ_CNJ,CNJ_ADV,N
19817,883,ADJ,N,CNJ,ADV,VD,recent,months,and,reportedly,received,ADJ_N,N_ADV,ADV_VD,CNJ
