,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
47314,2180,NP,NP,.,end,end,G.,Brown,.,,,NP_NP,NP_end,end_end,.
65931,3049,start,start,N,N,VG,,,Committee,members,aiding,start_start,start_N,N_VG,N
65932,3049,start,N,N,VG,PRO,,Committee,members,aiding,them,start_N,N_VG,VG_PRO,P
65933,3049,N,N,VG,PRO,P,Committee,members,aiding,them,in,N_N,N_PRO,PRO_P,VG
65934,3049,N,VG,PRO,P,VG,members,aiding,them,in,planning,N_VG,VG_P,P_VG,PRO
65935,3049,VG,PRO,P,VG,DET,aiding,them,in,planning,the,VG_PRO,PRO_VG,VG_DET,P
65936,3049,PRO,P,VG,DET,N,them,in,planning,the,entertainment,PRO_P,P_DET,DET_N,N
65937,3049,P,VG,DET,N,V,in,planning,the,entertainment,are,P_VG,VG_N,N_V,DET
65938,3049,VG,DET,N,V,N,planning,the,entertainment,are,Messrs,VG_DET,DET_V,V_N,N
65939,3049,DET,N,V,N,CNJ,the,entertainment,are,Messrs,and,DET_N,N_N,N_CNJ,V
65940,3049,N,V,N,CNJ,N,entertainment,are,Messrs,and,Mmes,N_V,V_CNJ,CNJ_N,N
65941,3049,V,N,CNJ,N,NP,are,Messrs,and,Mmes,Roy,V_N,N_N,N_NP,CNJ
65942,3049,N,CNJ,N,NP,NP,Messrs,and,Mmes,Roy,McKee,N_CNJ,CNJ_NP,NP_NP,N
65943,3049,CNJ,N,NP,NP,",",and,Mmes,Roy,McKee,",",CNJ_N,N_NP,"NP_,",NP
65944,3049,N,NP,NP,",",NP,Mmes,Roy,McKee,",",George,N_NP,"NP_,",",_NP",NP
65945,3049,NP,NP,",",NP,NP,Roy,McKee,",",George,McElyee,NP_NP,NP_NP,NP_NP,","
65946,3049,NP,",",NP,NP,",",McKee,",",George,McElyee,",","NP_,",",_NP","NP_,",NP
65947,3049,",",NP,NP,",",NP,",",George,McElyee,",",Jack,",_NP","NP_,",",_NP",NP
65948,3049,NP,NP,",",NP,NP,George,McElyee,",",Jack,Fanning,NP_NP,NP_NP,NP_NP,","
65949,3049,NP,",",NP,NP,",",McElyee,",",Jack,Fanning,",","NP_,",",_NP","NP_,",NP
65950,3049,",",NP,NP,",",NP,",",Jack,Fanning,",",W.,",_NP","NP_,",",_NP",NP
65951,3049,NP,NP,",",NP,NP,Jack,Fanning,",",W.,H.,NP_NP,NP_NP,NP_NP,","
65952,3049,NP,",",NP,NP,NP,Fanning,",",W.,H.,Roquemore,"NP_,",",_NP",NP_NP,NP
65953,3049,",",NP,NP,NP,CNJ,",",W.,H.,Roquemore,and,",_NP",NP_NP,NP_CNJ,NP
65954,3049,NP,NP,NP,CNJ,NP,W.,H.,Roquemore,and,Joe,NP_NP,NP_CNJ,CNJ_NP,NP
65955,3049,NP,NP,CNJ,NP,NP,H.,Roquemore,and,Joe,Darrow,NP_NP,NP_NP,NP_NP,","
65956,3049,NP,CNJ,NP,NP,.,Roquemore,and,Joe,Darrow,.,NP_CNJ,CNJ_NP,NP_.,NP
65957,3049,CNJ,NP,NP,.,end,and,Joe,Darrow,.,,CNJ_NP,NP_.,._end,NP
65958,3049,NP,NP,.,end,end,Joe,Darrow,.,,,NP_NP,NP_end,end_end,.
116733,5323,start,start,``,V,V,,,``,Don't,ask,start_start,start_V,V_V,``
116734,5323,start,``,V,V,PRO,,``,Don't,ask,me,start_``,``_V,V_PRO,V
116735,5323,``,V,V,PRO,CNJ,``,Don't,ask,me,if,``_V,V_PRO,PRO_CNJ,V
116736,5323,V,V,PRO,CNJ,PRO,Don't,ask,me,if,I,V_V,V_CNJ,CNJ_PRO,PRO
116737,5323,V,PRO,CNJ,PRO,V,ask,me,if,I,think,V_PRO,PRO_PRO,PRO_V,CNJ
116738,5323,PRO,CNJ,PRO,V,DET,me,if,I,think,the,PRO_CNJ,CNJ_V,V_DET,PRO
116739,5323,CNJ,PRO,V,DET,N,if,I,think,the,cannery,CNJ_PRO,PRO_DET,DET_N,V
116740,5323,PRO,V,DET,N,VBZ,I,think,the,cannery,helps,PRO_V,V_N,N_VBZ,DET
116741,5323,V,DET,N,VBZ,'',think,the,cannery,helps,'',V_DET,DET_VBZ,VBZ_'',N
116742,5323,DET,N,VBZ,'',",",the,cannery,helps,'',",",DET_N,N_'',"''_,",VBZ
116743,5323,N,VBZ,'',",",PRO,cannery,helps,'',",",he,N_VBZ,"VBZ_,",",_PRO",''
116744,5323,VBZ,'',",",PRO,VD,helps,'',",",he,said,VBZ_'',''_PRO,PRO_VD,","
116745,5323,'',",",PRO,VD,.,'',",",he,said,.,"''_,",",_VD",VD_.,PRO
116746,5323,",",PRO,VD,.,end,",",he,said,.,,",_PRO",PRO_.,._end,VD
116747,5323,PRO,VD,.,end,end,he,said,.,,,PRO_VD,VD_end,end_end,.
150000,7006,start,start,DET,N,V,,,Several,effects,were,start_start,start_N,N_V,DET
150001,7006,start,DET,N,V,ADV,,Several,effects,were,immediately,start_DET,DET_V,V_ADV,N
150002,7006,DET,N,V,ADV,ADJ,Several,effects,were,immediately,evident,DET_N,N_ADV,ADV_ADJ,V
150003,7006,N,V,ADV,ADJ,.,effects,were,immediately,evident,.,N_V,V_ADJ,ADJ_.,ADV
150004,7006,V,ADV,ADJ,.,end,were,immediately,evident,.,,V_ADV,ADV_.,._end,ADJ
150005,7006,ADV,ADJ,.,end,end,immediately,evident,.,,,ADV_ADJ,ADJ_end,end_end,.
154773,7247,start,start,VD,NUM,N,,,Cried,one,professor,start_start,start_NUM,NUM_N,VD
154774,7247,start,VD,NUM,N,P,,Cried,one,professor,after,start_VD,VD_N,N_P,DET
154775,7247,VD,NUM,N,P,DET,Cried,one,professor,after,a,VD_NUM,NUM_P,P_DET,N
154776,7247,NUM,N,P,DET,DET,one,professor,after,a,few,NUM_N,N_DET,DET_DET,P
154777,7247,N,P,DET,DET,N,professor,after,a,few,months,N_P,P_DET,DET_N,DET
154778,7247,P,DET,DET,N,P,after,a,few,months,of,P_DET,DET_N,N_P,DET
154779,7247,DET,DET,N,P,N,a,few,months,of,Student,DET_DET,DET_P,P_N,N
154780,7247,DET,N,P,N,NP,few,months,of,Student,Schiele's,DET_N,N_N,N_NP,P
154781,7247,N,P,N,NP,N,months,of,Student,Schiele's,tantrums,N_P,P_NP,NP_N,N
154782,7247,P,N,NP,N,CNJ,of,Student,Schiele's,tantrums,and,P_N,N_N,N_CNJ,N
154783,7247,N,NP,N,CNJ,N,Student,Schiele's,tantrums,and,rebellion,N_NP,NP_CNJ,CNJ_N,N
154784,7247,NP,N,CNJ,N,:,Schiele's,tantrums,and,rebellion,:,NP_N,N_N,N_:,CNJ
154785,7247,N,CNJ,N,:,``,tantrums,and,rebellion,:,``,N_CNJ,CNJ_:,:_``,N
154786,7247,CNJ,N,:,``,DET,and,rebellion,:,``,The,CNJ_N,N_``,``_DET,P
154787,7247,N,:,``,DET,N,rebellion,:,``,The,devil,N_:,:_DET,DET_N,``
154788,7247,:,``,DET,N,PRO,:,``,The,devil,himself,:_``,``_N,N_PRO,DET
154789,7247,``,DET,N,PRO,MOD,``,The,devil,himself,must,``_DET,DET_PRO,PRO_MOD,N
154790,7247,DET,N,PRO,MOD,V,The,devil,himself,must,have,DET_N,N_MOD,MOD_V,PRO
154791,7247,N,PRO,MOD,V,VN,devil,himself,must,have,defecated,N_PRO,PRO_V,V_VN,MOD
154792,7247,PRO,MOD,V,VN,PRO,himself,must,have,defecated,you,PRO_MOD,MOD_VN,VN_PRO,V
154793,7247,MOD,V,VN,PRO,P,must,have,defecated,you,into,MOD_V,V_PRO,PRO_P,V
154794,7247,V,VN,PRO,P,PRO,have,defecated,you,into,my,V_VN,VN_P,P_PRO,PRO
154795,7247,VN,PRO,P,PRO,N,defecated,you,into,my,classroom,VN_PRO,PRO_PRO,PRO_N,P
154796,7247,PRO,P,PRO,N,'',you,into,my,classroom,'',PRO_P,P_N,N_'',PRO
154797,7247,P,PRO,N,'',.,into,my,classroom,'',!,P_PRO,PRO_'',''_.,N
154798,7247,PRO,N,'',.,.,my,classroom,'',!,!,PRO_N,N_.,._.,.
154799,7247,N,'',.,.,end,classroom,'',!,!,,N_'',''_.,._end,.
154800,7247,'',.,.,end,end,'',!,!,,,''_.,._end,end_end,.
157293,7330,start,start,P,DET,ADJ,,,After,a,tortuous,start_start,start_DET,DET_ADJ,P
157294,7330,start,P,DET,ADJ,N,,After,a,tortuous,drive,start_P,P_ADJ,ADJ_N,DET
157295,7330,P,DET,ADJ,N,P,After,a,tortuous,drive,in,P_DET,DET_N,N_P,ADJ
157296,7330,DET,ADJ,N,P,DET,a,tortuous,drive,in,an,DET_ADJ,ADJ_P,P_DET,N
157297,7330,ADJ,N,P,DET,ADJ,tortuous,drive,in,an,open,ADJ_N,N_DET,DET_ADJ,P
157298,7330,N,P,DET,ADJ,N,drive,in,an,open,truck,N_P,P_ADJ,ADJ_N,DET
157299,7330,P,DET,ADJ,N,CNJ,in,an,open,truck,and,P_DET,DET_N,N_CNJ,ADJ
157300,7330,DET,ADJ,N,CNJ,DET,an,open,truck,and,a,DET_ADJ,ADJ_CNJ,CNJ_DET,N
157301,7330,ADJ,N,CNJ,DET,N,open,truck,and,a,World,ADJ_N,N_DET,DET_N,CNJ
157302,7330,N,CNJ,DET,N,N,truck,and,a,World,War,N_CNJ,CNJ_N,N_N,DET
157303,7330,CNJ,DET,N,N,NUM,and,a,World,War,2,CNJ_DET,DET_N,N_NUM,N
157304,7330,DET,N,N,NUM,",",a,World,War,2,",",DET_N,N_NUM,"NUM_,",N
157305,7330,N,N,NUM,",",N,World,War,2,",",army,N_N,"N_,",",_N",NUM
157306,7330,N,NUM,",",N,N,War,2,",",army,jeep,N_NUM,NUM_N,N_N,","
157307,7330,NUM,",",N,N,P,2,",",army,jeep,down,"NUM_,",",_N",N_P,DET
157308,7330,",",N,N,P,ADJ,",",army,jeep,down,soggy,",_N",N_P,P_ADJ,N
157309,7330,N,N,P,ADJ,N,army,jeep,down,soggy,trails,N_N,N_ADJ,ADJ_N,ADJ
157310,7330,N,P,ADJ,N,",",jeep,down,soggy,trails,",",N_P,P_N,"N_,",ADJ
157311,7330,P,ADJ,N,",",DET,down,soggy,trails,",",the,P_ADJ,"ADJ_,",",_DET",N
157312,7330,ADJ,N,",",DET,N,soggy,trails,",",the,band,ADJ_N,N_DET,DET_N,","
157313,7330,N,",",DET,N,VD,trails,",",the,band,arrived,"N_,",",_N",N_VD,DET
157314,7330,",",DET,N,VD,P,",",the,band,arrived,at,",_DET",DET_VD,VD_P,N
157315,7330,DET,N,VD,P,DET,the,band,arrived,at,a,DET_N,N_P,P_DET,VD
157316,7330,N,VD,P,DET,ADJ,band,arrived,at,a,small,N_VD,VD_DET,DET_ADJ,P
157317,7330,VD,P,DET,ADJ,N,arrived,at,a,small,clearing,VD_P,P_ADJ,ADJ_N,DET
157318,7330,P,DET,ADJ,N,VN,at,a,small,clearing,squeezed,P_DET,DET_N,N_VN,ADJ
157319,7330,DET,ADJ,N,VN,P,a,small,clearing,squeezed,between,DET_ADJ,ADJ_VN,VN_P,N
157320,7330,ADJ,N,VN,P,DET,small,clearing,squeezed,between,a,ADJ_N,N_P,P_DET,N
157321,7330,N,VN,P,DET,ADJ,clearing,squeezed,between,a,long,N_VN,VN_DET,DET_ADJ,P
157322,7330,VN,P,DET,ADJ,",",squeezed,between,a,long,",",VN_P,P_ADJ,"ADJ_,",DET
157323,7330,P,DET,ADJ,",",ADJ,between,a,long,",",low,P_DET,"DET_,",",_ADJ",ADJ
157324,7330,DET,ADJ,",",ADJ,N,a,long,",",low,ridge,DET_ADJ,ADJ_ADJ,ADJ_N,","
157325,7330,ADJ,",",ADJ,N,CNJ,long,",",low,ridge,and,"ADJ_,",",_N",N_CNJ,ADJ
157326,7330,",",ADJ,N,CNJ,DET,",",low,ridge,and,a,",_ADJ",ADJ_CNJ,CNJ_DET,N
157327,7330,ADJ,N,CNJ,DET,ADJ,low,ridge,and,a,creek-filled,ADJ_N,N_DET,DET_ADJ,CNJ
157328,7330,N,CNJ,DET,ADJ,N,ridge,and,a,creek-filled,gully,N_CNJ,CNJ_ADJ,ADJ_N,DET
157329,7330,CNJ,DET,ADJ,N,.,and,a,creek-filled,gully,.,CNJ_DET,DET_N,N_.,ADJ
157330,7330,DET,ADJ,N,.,end,a,creek-filled,gully,.,,DET_ADJ,ADJ_.,._end,N
157331,7330,ADJ,N,.,end,end,creek-filled,gully,.,,,ADJ_N,N_end,end_end,.
164199,7664,start,start,CNJ,DET,N,,,And,the,subtleties,start_start,start_DET,DET_N,CNJ
164200,7664,start,CNJ,DET,N,P,,And,the,subtleties,of,start_CNJ,CNJ_N,N_P,DET
164201,7664,CNJ,DET,N,P,DET,And,the,subtleties,of,the,CNJ_DET,DET_P,P_DET,N
164202,7664,DET,N,P,DET,N,the,subtleties,of,the,dialogue,DET_N,N_DET,DET_N,P
164203,7664,N,P,DET,N,V,subtleties,of,the,dialogue,are,N_P,P_N,N_V,DET
164204,7664,P,DET,N,V,DET,of,the,dialogue,are,most,P_DET,DET_V,V_DET,N
164205,7664,DET,N,V,DET,ADV,the,dialogue,are,most,helpfully,DET_N,N_DET,DET_ADV,V
164206,7664,N,V,DET,ADV,VN,dialogue,are,most,helpfully,conveyed,N_V,V_ADV,ADV_VN,DET
164207,7664,V,DET,ADV,VN,.,are,most,helpfully,conveyed,.,V_DET,DET_VN,VN_.,ADV
164208,7664,DET,ADV,VN,.,end,most,helpfully,conveyed,.,,DET_ADV,ADV_.,._end,VN
164209,7664,ADV,VN,.,end,end,helpfully,conveyed,.,,,ADV_VN,VN_end,end_end,P
167440,7801,start,start,NP,NP,V,,,Miss,Xydis,was,start_start,start_NP,NP_V,NP
167441,7801,start,NP,NP,V,ADJ,,Miss,Xydis,was,best,start_NP,NP_V,V_ADJ,NP
167442,7801,NP,NP,V,ADJ,WH,Miss,Xydis,was,best,when,NP_NP,NP_ADJ,ADJ_WH,V
167443,7801,NP,V,ADJ,WH,PRO,Xydis,was,best,when,she,NP_V,V_WH,WH_PRO,ADJ
167444,7801,V,ADJ,WH,PRO,V,was,best,when,she,did,V_ADJ,ADJ_PRO,PRO_V,WH
167445,7801,ADJ,WH,PRO,V,*,best,when,she,did,not,ADJ_WH,WH_V,V_*,PRO
167446,7801,WH,PRO,V,*,V,when,she,did,not,need,WH_PRO,PRO_*,*_V,V
167447,7801,PRO,V,*,V,TO,she,did,not,need,to,PRO_V,V_V,V_TO,*
167448,7801,V,*,V,TO,V,did,not,need,to,be,V_*,*_TO,TO_V,V
167449,7801,*,V,TO,V,DET,not,need,to,be,too,*_V,V_V,V_DET,TO
167450,7801,V,TO,V,DET,VG,need,to,be,too,probing,V_TO,TO_DET,DET_VG,V
167451,7801,TO,V,DET,VG,.,to,be,too,probing,.,TO_V,V_VG,VG_.,DET
167452,7801,V,DET,VG,.,end,be,too,probing,.,,V_DET,DET_.,._end,VG
167453,7801,DET,VG,.,end,end,too,probing,.,,,DET_VG,VG_end,end_end,N
199172,9147,start,start,CNJ,PRO,MOD,,,But,he,would,start_start,start_PRO,PRO_MOD,CNJ
199173,9147,start,CNJ,PRO,MOD,V,,But,he,would,fight,start_CNJ,CNJ_MOD,MOD_V,PRO
199174,9147,CNJ,PRO,MOD,V,P,But,he,would,fight,for,CNJ_PRO,PRO_V,V_P,MOD
199175,9147,PRO,MOD,V,P,PRO,he,would,fight,for,his,PRO_MOD,MOD_P,P_PRO,V
199176,9147,MOD,V,P,PRO,ADJ,would,fight,for,his,own,MOD_V,V_PRO,PRO_ADJ,P
199177,9147,V,P,PRO,ADJ,N,fight,for,his,own,liberty,V_P,P_ADJ,ADJ_N,PRO
199178,9147,P,PRO,ADJ,N,P,for,his,own,liberty,rather,P_PRO,PRO_N,N_P,ADJ
199179,9147,PRO,ADJ,N,P,P,his,own,liberty,rather,than,PRO_ADJ,ADJ_P,P_P,N
199180,9147,ADJ,N,P,P,P,own,liberty,rather,than,for,ADJ_N,N_P,P_P,P
199181,9147,N,P,P,P,DET,liberty,rather,than,for,any,N_P,P_P,P_DET,CNJ
199182,9147,P,P,P,DET,ADJ,rather,than,for,any,abstract,P_P,P_DET,DET_ADJ,P
199183,9147,P,P,DET,ADJ,N,than,for,any,abstract,principle,P_P,P_ADJ,ADJ_N,DET
199184,9147,P,DET,ADJ,N,VN,for,any,abstract,principle,connected,P_DET,DET_N,N_VN,ADJ
199185,9147,DET,ADJ,N,VN,P,any,abstract,principle,connected,with,DET_ADJ,ADJ_VN,VN_P,N
199186,9147,ADJ,N,VN,P,PRO,abstract,principle,connected,with,it,ADJ_N,N_P,P_PRO,VN
199187,9147,N,VN,P,PRO,--,principle,connected,with,it,--,N_VN,VN_PRO,PRO_--,P
199188,9147,VN,P,PRO,--,ADJ,connected,with,it,--,such,VN_P,P_--,--_ADJ,PRO
199189,9147,P,PRO,--,ADJ,CNJ,with,it,--,such,as,P_PRO,PRO_ADJ,ADJ_CNJ,--
199190,9147,PRO,--,ADJ,CNJ,``,it,--,such,as,``,PRO_--,--_CNJ,CNJ_``,DET
199191,9147,--,ADJ,CNJ,``,N,--,such,as,``,cause,--_ADJ,ADJ_``,``_N,CNJ
199192,9147,ADJ,CNJ,``,N,'',such,as,``,cause,'',ADJ_CNJ,CNJ_N,N_'',``
199193,9147,CNJ,``,N,'',.,as,``,cause,'',.,CNJ_``,``_'',''_.,N
199194,9147,``,N,'',.,end,``,cause,'',.,,``_N,N_.,._end,''
199195,9147,N,'',.,end,end,cause,'',.,,,N_'',''_end,end_end,.
212992,9659,start,start,DET,N,V,,,The,fact,is,start_start,start_N,N_V,DET
212993,9659,start,DET,N,V,ADJ,,The,fact,is,incontestable,start_DET,DET_V,V_ADJ,N
212994,9659,DET,N,V,ADJ,:,The,fact,is,incontestable,:,DET_N,N_ADJ,ADJ_:,V
212995,9659,N,V,ADJ,:,DET,fact,is,incontestable,:,that,N_V,V_:,:_DET,DET
212996,9659,V,ADJ,:,DET,ADJ,is,incontestable,:,that,liberal,V_ADJ,ADJ_DET,DET_ADJ,P
212997,9659,ADJ,:,DET,ADJ,N,incontestable,:,that,liberal,world,ADJ_:,:_ADJ,ADJ_N,DET
212998,9659,:,DET,ADJ,N,P,:,that,liberal,world,of,:_DET,DET_N,N_P,ADJ
212999,9659,DET,ADJ,N,P,ADJ,that,liberal,world,of,Unitarian,DET_ADJ,ADJ_P,P_ADJ,N
213000,9659,ADJ,N,P,ADJ,NP,liberal,world,of,Unitarian,Boston,ADJ_N,N_ADJ,ADJ_NP,P
213001,9659,N,P,ADJ,NP,V,world,of,Unitarian,Boston,was,N_P,P_NP,NP_V,ADJ
213002,9659,P,ADJ,NP,V,ADJ,of,Unitarian,Boston,was,narrow-minded,P_ADJ,ADJ_V,V_ADJ,NP
213003,9659,ADJ,NP,V,ADJ,",",Unitarian,Boston,was,narrow-minded,",",ADJ_NP,NP_ADJ,"ADJ_,",V
213004,9659,NP,V,ADJ,",",ADV,Boston,was,narrow-minded,",",intellectually,NP_V,"V_,",",_ADV",N
213005,9659,V,ADJ,",",ADV,ADJ,was,narrow-minded,",",intellectually,sterile,V_ADJ,ADJ_ADV,ADV_ADJ,","
213006,9659,ADJ,",",ADV,ADJ,",",narrow-minded,",",intellectually,sterile,",","ADJ_,",",_ADJ","ADJ_,",ADV
213007,9659,",",ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",_ADV","ADV_,",",_ADJ",ADJ
213008,9659,ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",",ADV_ADJ,ADJ_ADJ,"ADJ_,",","
213009,9659,ADJ,",",ADJ,",",ADJ,sterile,",",smug,",",afraid,"ADJ_,",",_,",",_ADJ",ADJ
213010,9659,",",ADJ,",",ADJ,P,",",smug,",",afraid,of,",_ADJ",ADJ_ADJ,ADJ_P,","
213011,9659,ADJ,",",ADJ,P,DET,smug,",",afraid,of,the,"ADJ_,",",_P",P_DET,ADJ
213012,9659,",",ADJ,P,DET,ADJ,",",afraid,of,the,logical,",_ADJ",ADJ_DET,DET_ADJ,P
213013,9659,ADJ,P,DET,ADJ,N,afraid,of,the,logical,consequences,ADJ_P,P_ADJ,ADJ_N,DET
213014,9659,P,DET,ADJ,N,P,of,the,logical,consequences,of,P_DET,DET_N,N_P,ADJ
213015,9659,DET,ADJ,N,P,PRO,the,logical,consequences,of,its,DET_ADJ,ADJ_P,P_PRO,N
213016,9659,ADJ,N,P,PRO,ADJ,logical,consequences,of,its,own,ADJ_N,N_PRO,PRO_ADJ,P
213017,9659,N,P,PRO,ADJ,ADJ,consequences,of,its,own,mild,N_P,P_ADJ,ADJ_ADJ,PRO
