,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
34853,1601,P,NP,NP,N,.,for,Mrs.,Geraghty's,return,;,P_NP,NP_N,N_.,NP
34854,1601,NP,NP,N,.,.,Mrs.,Geraghty's,return,;,;,NP_NP,NP_.,._.,ADJ
34855,1601,NP,N,.,.,end,Geraghty's,return,;,;,,NP_N,N_.,._end,.
34856,1601,N,.,.,end,end,return,;,;,,,N_.,._end,end_end,.
37764,1740,start,start,DET,V,V,,,Some,even,boast,start_start,start_V,V_V,DET
37765,1740,start,DET,V,V,NUM,,Some,even,boast,two,start_DET,DET_V,V_NUM,N
37766,1740,DET,V,V,NUM,N,Some,even,boast,two,pools,DET_V,V_NUM,NUM_N,V
37767,1740,V,V,NUM,N,",",even,boast,two,pools,",",V_V,V_N,"N_,",P
37768,1740,V,NUM,N,",",NUM,boast,two,pools,",",one,V_NUM,"NUM_,",",_NUM",N
37769,1740,NUM,N,",",NUM,P,two,pools,",",one,for,NUM_N,N_NUM,NUM_P,","
37770,1740,N,",",NUM,P,N,pools,",",one,for,adults,"N_,",",_P",P_N,PRO
37771,1740,",",NUM,P,N,CNJ,",",one,for,adults,and,",_NUM",NUM_N,N_CNJ,P
37772,1740,NUM,P,N,CNJ,NUM,one,for,adults,and,one,NUM_P,P_CNJ,CNJ_NUM,N
37773,1740,P,N,CNJ,NUM,P,for,adults,and,one,for,P_N,N_NUM,NUM_P,P
37774,1740,N,CNJ,NUM,P,N,adults,and,one,for,children,N_CNJ,CNJ_P,P_N,PRO
37775,1740,CNJ,NUM,P,N,.,and,one,for,children,.,CNJ_NUM,NUM_N,N_.,P
37776,1740,NUM,P,N,.,end,one,for,children,.,,NUM_P,P_.,._end,N
37777,1740,P,N,.,end,end,for,children,.,,,P_N,N_end,end_end,.
47301,2180,start,start,DET,N,VG,,,A,note,making,start_start,start_N,N_VG,DET
47302,2180,start,DET,N,VG,DET,,A,note,making,the,start_DET,DET_VG,VG_DET,N
47303,2180,DET,N,VG,DET,N,A,note,making,the,request,DET_N,N_DET,DET_N,N
47304,2180,N,VG,DET,N,V,note,making,the,request,was,N_VG,VG_N,N_V,DET
47305,2180,VG,DET,N,V,VN,making,the,request,was,handed,VG_DET,DET_V,V_VN,N
47306,2180,DET,N,V,VN,P,the,request,was,handed,to,DET_N,N_VN,VN_P,V
47307,2180,N,V,VN,P,NP,request,was,handed,to,U.S.,N_V,V_P,P_NP,VN
47308,2180,V,VN,P,NP,N,was,handed,to,U.S.,Ambassador,V_VN,VN_NP,NP_N,P
47309,2180,VN,P,NP,N,NP,handed,to,U.S.,Ambassador,Winthrop,VN_P,P_N,N_NP,NP
47310,2180,P,NP,N,NP,NP,to,U.S.,Ambassador,Winthrop,G.,P_NP,NP_NP,NP_NP,N
47311,2180,NP,N,NP,NP,NP,U.S.,Ambassador,Winthrop,G.,Brown,NP_N,N_NP,NP_NP,NP
47312,2180,N,NP,NP,NP,.,Ambassador,Winthrop,G.,Brown,.,N_NP,NP_NP,NP_.,NP
47313,2180,NP,NP,NP,.,end,Winthrop,G.,Brown,.,,NP_NP,NP_.,._end,NP
47314,2180,NP,NP,.,end,end,G.,Brown,.,,,NP_NP,NP_end,end_end,.
150000,7006,start,start,DET,N,V,,,Several,effects,were,start_start,start_N,N_V,DET
150001,7006,start,DET,N,V,ADV,,Several,effects,were,immediately,start_DET,DET_V,V_ADV,N
150002,7006,DET,N,V,ADV,ADJ,Several,effects,were,immediately,evident,DET_N,N_ADV,ADV_ADJ,V
150003,7006,N,V,ADV,ADJ,.,effects,were,immediately,evident,.,N_V,V_ADJ,ADJ_.,DET
150004,7006,V,ADV,ADJ,.,end,were,immediately,evident,.,,V_ADV,ADV_.,._end,ADJ
150005,7006,ADV,ADJ,.,end,end,immediately,evident,.,,,ADV_ADJ,ADJ_end,end_end,.
154773,7247,start,start,VD,NUM,N,,,Cried,one,professor,start_start,start_NUM,NUM_N,VD
154774,7247,start,VD,NUM,N,P,,Cried,one,professor,after,start_VD,VD_N,N_P,DET
154775,7247,VD,NUM,N,P,DET,Cried,one,professor,after,a,VD_NUM,NUM_P,P_DET,N
154776,7247,NUM,N,P,DET,DET,one,professor,after,a,few,NUM_N,N_DET,DET_DET,P
154777,7247,N,P,DET,DET,N,professor,after,a,few,months,N_P,P_DET,DET_N,DET
154778,7247,P,DET,DET,N,P,after,a,few,months,of,P_DET,DET_N,N_P,DET
154779,7247,DET,DET,N,P,N,a,few,months,of,Student,DET_DET,DET_P,P_N,N
154780,7247,DET,N,P,N,NP,few,months,of,Student,Schiele's,DET_N,N_N,N_NP,P
154781,7247,N,P,N,NP,N,months,of,Student,Schiele's,tantrums,N_P,P_NP,NP_N,N
154782,7247,P,N,NP,N,CNJ,of,Student,Schiele's,tantrums,and,P_N,N_N,N_CNJ,N
154783,7247,N,NP,N,CNJ,N,Student,Schiele's,tantrums,and,rebellion,N_NP,NP_CNJ,CNJ_N,N
154784,7247,NP,N,CNJ,N,:,Schiele's,tantrums,and,rebellion,:,NP_N,N_N,N_:,CNJ
154785,7247,N,CNJ,N,:,``,tantrums,and,rebellion,:,``,N_CNJ,CNJ_:,:_``,N
154786,7247,CNJ,N,:,``,DET,and,rebellion,:,``,The,CNJ_N,N_``,``_DET,P
154787,7247,N,:,``,DET,N,rebellion,:,``,The,devil,N_:,:_DET,DET_N,``
154788,7247,:,``,DET,N,PRO,:,``,The,devil,himself,:_``,``_N,N_PRO,DET
154789,7247,``,DET,N,PRO,MOD,``,The,devil,himself,must,``_DET,DET_PRO,PRO_MOD,N
154790,7247,DET,N,PRO,MOD,V,The,devil,himself,must,have,DET_N,N_MOD,MOD_V,PRO
154791,7247,N,PRO,MOD,V,VN,devil,himself,must,have,defecated,N_PRO,PRO_V,V_VN,MOD
154792,7247,PRO,MOD,V,VN,PRO,himself,must,have,defecated,you,PRO_MOD,MOD_VN,VN_PRO,V
154793,7247,MOD,V,VN,PRO,P,must,have,defecated,you,into,MOD_V,V_PRO,PRO_P,V
154794,7247,V,VN,PRO,P,PRO,have,defecated,you,into,my,V_VN,VN_P,P_PRO,PRO
154795,7247,VN,PRO,P,PRO,N,defecated,you,into,my,classroom,VN_PRO,PRO_PRO,PRO_N,P
154796,7247,PRO,P,PRO,N,'',you,into,my,classroom,'',PRO_P,P_N,N_'',PRO
154797,7247,P,PRO,N,'',.,into,my,classroom,'',!,P_PRO,PRO_'',''_.,N
154798,7247,PRO,N,'',.,.,my,classroom,'',!,!,PRO_N,N_.,._.,N
154799,7247,N,'',.,.,end,classroom,'',!,!,,N_'',''_.,._end,.
154800,7247,'',.,.,end,end,'',!,!,,,''_.,._end,end_end,.
167440,7801,start,start,NP,NP,V,,,Miss,Xydis,was,start_start,start_NP,NP_V,NP
167441,7801,start,NP,NP,V,ADJ,,Miss,Xydis,was,best,start_NP,NP_V,V_ADJ,NP
167442,7801,NP,NP,V,ADJ,WH,Miss,Xydis,was,best,when,NP_NP,NP_ADJ,ADJ_WH,V
167443,7801,NP,V,ADJ,WH,PRO,Xydis,was,best,when,she,NP_V,V_WH,WH_PRO,ADV
167444,7801,V,ADJ,WH,PRO,V,was,best,when,she,did,V_ADJ,ADJ_PRO,PRO_V,WH
167445,7801,ADJ,WH,PRO,V,*,best,when,she,did,not,ADJ_WH,WH_V,V_*,PRO
167446,7801,WH,PRO,V,*,V,when,she,did,not,need,WH_PRO,PRO_*,*_V,V
167447,7801,PRO,V,*,V,TO,she,did,not,need,to,PRO_V,V_V,V_TO,*
167448,7801,V,*,V,TO,V,did,not,need,to,be,V_*,*_TO,TO_V,V
167449,7801,*,V,TO,V,DET,not,need,to,be,too,*_V,V_V,V_DET,TO
167450,7801,V,TO,V,DET,VG,need,to,be,too,probing,V_TO,TO_DET,DET_VG,V
167451,7801,TO,V,DET,VG,.,to,be,too,probing,.,TO_V,V_VG,VG_.,DET
167452,7801,V,DET,VG,.,end,be,too,probing,.,,V_DET,DET_.,._end,VG
167453,7801,DET,VG,.,end,end,too,probing,.,,,DET_VG,VG_end,end_end,.
199172,9147,start,start,CNJ,PRO,MOD,,,But,he,would,start_start,start_PRO,PRO_MOD,CNJ
199173,9147,start,CNJ,PRO,MOD,V,,But,he,would,fight,start_CNJ,CNJ_MOD,MOD_V,PRO
199174,9147,CNJ,PRO,MOD,V,P,But,he,would,fight,for,CNJ_PRO,PRO_V,V_P,MOD
199175,9147,PRO,MOD,V,P,PRO,he,would,fight,for,his,PRO_MOD,MOD_P,P_PRO,V
199176,9147,MOD,V,P,PRO,ADJ,would,fight,for,his,own,MOD_V,V_PRO,PRO_ADJ,P
199177,9147,V,P,PRO,ADJ,N,fight,for,his,own,liberty,V_P,P_ADJ,ADJ_N,PRO
199178,9147,P,PRO,ADJ,N,P,for,his,own,liberty,rather,P_PRO,PRO_N,N_P,ADJ
199179,9147,PRO,ADJ,N,P,P,his,own,liberty,rather,than,PRO_ADJ,ADJ_P,P_P,N
199180,9147,ADJ,N,P,P,P,own,liberty,rather,than,for,ADJ_N,N_P,P_P,P
199181,9147,N,P,P,P,DET,liberty,rather,than,for,any,N_P,P_P,P_DET,CNJ
199182,9147,P,P,P,DET,ADJ,rather,than,for,any,abstract,P_P,P_DET,DET_ADJ,P
199183,9147,P,P,DET,ADJ,N,than,for,any,abstract,principle,P_P,P_ADJ,ADJ_N,DET
199184,9147,P,DET,ADJ,N,VN,for,any,abstract,principle,connected,P_DET,DET_N,N_VN,ADJ
199185,9147,DET,ADJ,N,VN,P,any,abstract,principle,connected,with,DET_ADJ,ADJ_VN,VN_P,N
199186,9147,ADJ,N,VN,P,PRO,abstract,principle,connected,with,it,ADJ_N,N_P,P_PRO,VN
199187,9147,N,VN,P,PRO,--,principle,connected,with,it,--,N_VN,VN_PRO,PRO_--,P
199188,9147,VN,P,PRO,--,ADJ,connected,with,it,--,such,VN_P,P_--,--_ADJ,PRO
199189,9147,P,PRO,--,ADJ,CNJ,with,it,--,such,as,P_PRO,PRO_ADJ,ADJ_CNJ,--
199190,9147,PRO,--,ADJ,CNJ,``,it,--,such,as,``,PRO_--,--_CNJ,CNJ_``,ADJ
199191,9147,--,ADJ,CNJ,``,N,--,such,as,``,cause,--_ADJ,ADJ_``,``_N,CNJ
199192,9147,ADJ,CNJ,``,N,'',such,as,``,cause,'',ADJ_CNJ,CNJ_N,N_'',``
199193,9147,CNJ,``,N,'',.,as,``,cause,'',.,CNJ_``,``_'',''_.,N
199194,9147,``,N,'',.,end,``,cause,'',.,,``_N,N_.,._end,''
199195,9147,N,'',.,end,end,cause,'',.,,,N_'',''_end,end_end,.
212992,9659,start,start,DET,N,V,,,The,fact,is,start_start,start_N,N_V,DET
212993,9659,start,DET,N,V,ADJ,,The,fact,is,incontestable,start_DET,DET_V,V_ADJ,N
212994,9659,DET,N,V,ADJ,:,The,fact,is,incontestable,:,DET_N,N_ADJ,ADJ_:,V
212995,9659,N,V,ADJ,:,DET,fact,is,incontestable,:,that,N_V,V_:,:_DET,N
212996,9659,V,ADJ,:,DET,ADJ,is,incontestable,:,that,liberal,V_ADJ,ADJ_DET,DET_ADJ,P
212997,9659,ADJ,:,DET,ADJ,N,incontestable,:,that,liberal,world,ADJ_:,:_ADJ,ADJ_N,DET
212998,9659,:,DET,ADJ,N,P,:,that,liberal,world,of,:_DET,DET_N,N_P,ADJ
212999,9659,DET,ADJ,N,P,ADJ,that,liberal,world,of,Unitarian,DET_ADJ,ADJ_P,P_ADJ,N
213000,9659,ADJ,N,P,ADJ,NP,liberal,world,of,Unitarian,Boston,ADJ_N,N_ADJ,ADJ_NP,P
213001,9659,N,P,ADJ,NP,V,world,of,Unitarian,Boston,was,N_P,P_NP,NP_V,ADJ
213002,9659,P,ADJ,NP,V,ADJ,of,Unitarian,Boston,was,narrow-minded,P_ADJ,ADJ_V,V_ADJ,NP
213003,9659,ADJ,NP,V,ADJ,",",Unitarian,Boston,was,narrow-minded,",",ADJ_NP,NP_ADJ,"ADJ_,",V
213004,9659,NP,V,ADJ,",",ADV,Boston,was,narrow-minded,",",intellectually,NP_V,"V_,",",_ADV",N
213005,9659,V,ADJ,",",ADV,ADJ,was,narrow-minded,",",intellectually,sterile,V_ADJ,ADJ_ADV,ADV_ADJ,","
213006,9659,ADJ,",",ADV,ADJ,",",narrow-minded,",",intellectually,sterile,",","ADJ_,",",_ADJ","ADJ_,",ADV
213007,9659,",",ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",_ADV","ADV_,",",_ADJ",ADJ
213008,9659,ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",",ADV_ADJ,ADJ_ADJ,"ADJ_,",","
213009,9659,ADJ,",",ADJ,",",ADJ,sterile,",",smug,",",afraid,"ADJ_,",",_,",",_ADJ",ADJ
213010,9659,",",ADJ,",",ADJ,P,",",smug,",",afraid,of,",_ADJ",ADJ_ADJ,ADJ_P,","
213011,9659,ADJ,",",ADJ,P,DET,smug,",",afraid,of,the,"ADJ_,",",_P",P_DET,ADJ
213012,9659,",",ADJ,P,DET,ADJ,",",afraid,of,the,logical,",_ADJ",ADJ_DET,DET_ADJ,P
213013,9659,ADJ,P,DET,ADJ,N,afraid,of,the,logical,consequences,ADJ_P,P_ADJ,ADJ_N,DET
213014,9659,P,DET,ADJ,N,P,of,the,logical,consequences,of,P_DET,DET_N,N_P,ADJ
213015,9659,DET,ADJ,N,P,PRO,the,logical,consequences,of,its,DET_ADJ,ADJ_P,P_PRO,N
213016,9659,ADJ,N,P,PRO,ADJ,logical,consequences,of,its,own,ADJ_N,N_PRO,PRO_ADJ,P
213017,9659,N,P,PRO,ADJ,ADJ,consequences,of,its,own,mild,N_P,P_ADJ,ADJ_ADJ,PRO
213018,9659,P,PRO,ADJ,ADJ,N,of,its,own,mild,ventures,P_PRO,PRO_ADJ,ADJ_N,ADJ
213019,9659,PRO,ADJ,ADJ,N,P,its,own,mild,ventures,into,PRO_ADJ,ADJ_N,N_P,ADJ
213020,9659,ADJ,ADJ,N,P,N,own,mild,ventures,into,iconoclasm,ADJ_ADJ,ADJ_P,P_N,N
213021,9659,ADJ,N,P,N,",",mild,ventures,into,iconoclasm,",",ADJ_N,N_N,"N_,",P
213022,9659,N,P,N,",",CNJ,ventures,into,iconoclasm,",",and,N_P,"P_,",",_CNJ",N
213023,9659,P,N,",",CNJ,DET,into,iconoclasm,",",and,quite,P_N,N_CNJ,CNJ_DET,","
213024,9659,N,",",CNJ,DET,VN,iconoclasm,",",and,quite,prepared,"N_,",",_DET",DET_VN,CNJ
213025,9659,",",CNJ,DET,VN,TO,",",and,quite,prepared,to,",_CNJ",CNJ_VN,VN_TO,DET
213026,9659,CNJ,DET,VN,TO,V,and,quite,prepared,to,resort,CNJ_DET,DET_TO,TO_V,VN
213027,9659,DET,VN,TO,V,P,quite,prepared,to,resort,to,DET_VN,VN_V,V_P,TO
213028,9659,VN,TO,V,P,ADJ,prepared,to,resort,to,hysterical,VN_TO,TO_P,P_ADJ,V
213029,9659,TO,V,P,ADJ,N,to,resort,to,hysterical,repressions,TO_V,V_ADJ,ADJ_N,DET
213030,9659,V,P,ADJ,N,WH,resort,to,hysterical,repressions,when,V_P,P_N,N_WH,ADJ
213031,9659,P,ADJ,N,WH,PRO,to,hysterical,repressions,when,its,P_ADJ,ADJ_WH,WH_PRO,N
213032,9659,ADJ,N,WH,PRO,ADJ,hysterical,repressions,when,its,brittle,ADJ_N,N_PRO,PRO_ADJ,WH
213033,9659,N,WH,PRO,ADJ,N,repressions,when,its,brittle,foundations,N_WH,WH_ADJ,ADJ_N,PRO
213034,9659,WH,PRO,ADJ,N,V,when,its,brittle,foundations,were,WH_PRO,PRO_N,N_V,ADJ
213035,9659,PRO,ADJ,N,V,VN,its,brittle,foundations,were,threatened,PRO_ADJ,ADJ_V,V_VN,N
213036,9659,ADJ,N,V,VN,.,brittle,foundations,were,threatened,.,ADJ_N,N_VN,VN_.,V
213037,9659,N,V,VN,.,end,foundations,were,threatened,.,,N_V,V_.,._end,VN
213038,9659,V,VN,.,end,end,were,threatened,.,,,V_VN,VN_end,end_end,.
233162,10512,start,start,P,N,",",,,For,instance,",",start_start,start_N,"N_,",P
233163,10512,start,P,N,",",PRO,,For,instance,",",we,start_P,"P_,",",_PRO",N
233164,10512,P,N,",",PRO,MOD,For,instance,",",we,cannot,P_N,N_PRO,PRO_MOD,","
233165,10512,N,",",PRO,MOD,V,instance,",",we,cannot,know,"N_,",",_MOD",MOD_V,PRO
233166,10512,",",PRO,MOD,V,CNJ,",",we,cannot,know,whether,",_PRO",PRO_V,V_CNJ,MOD
233167,10512,PRO,MOD,V,CNJ,ADV,we,cannot,know,whether,even,PRO_MOD,MOD_CNJ,CNJ_ADV,V
233168,10512,MOD,V,CNJ,ADV,P,cannot,know,whether,even,for,MOD_V,V_ADV,ADV_P,CNJ
233169,10512,V,CNJ,ADV,P,N,know,whether,even,for,church,V_CNJ,CNJ_P,P_N,DET
233170,10512,CNJ,ADV,P,N,N,whether,even,for,church,members,CNJ_ADV,ADV_N,N_N,P
233171,10512,ADV,P,N,N,DET,even,for,church,members,the,ADV_P,P_N,N_DET,N
233172,10512,P,N,N,DET,N,for,church,members,the,degree,P_N,N_DET,DET_N,N
233173,10512,N,N,DET,N,P,church,members,the,degree,of,N_N,N_N,N_P,DET
233174,10512,N,DET,N,P,N,members,the,degree,of,conformity,N_DET,DET_P,P_N,N
233175,10512,DET,N,P,N,P,the,degree,of,conformity,to,DET_N,N_N,N_P,P
233176,10512,N,P,N,P,ADJ,degree,of,conformity,to,Christian,N_P,P_P,P_ADJ,N
233177,10512,P,N,P,ADJ,N,of,conformity,to,Christian,standards,P_N,N_ADJ,ADJ_N,P
233178,10512,N,P,ADJ,N,P,conformity,to,Christian,standards,of,N_P,P_N,N_P,ADJ
233179,10512,P,ADJ,N,P,N,to,Christian,standards,of,morality,P_ADJ,ADJ_P,P_N,N
233180,10512,ADJ,N,P,N,VD,Christian,standards,of,morality,increased,ADJ_N,N_N,N_VD,P
233181,10512,N,P,N,VD,CNJ,standards,of,morality,increased,or,N_P,P_VD,VD_CNJ,N
233182,10512,P,N,VD,CNJ,VD,of,morality,increased,or,declined,P_N,N_CNJ,CNJ_VD,VD
233183,10512,N,VD,CNJ,VD,CNJ,morality,increased,or,declined,as,N_VD,VD_VD,VD_CNJ,PRO
233184,10512,VD,CNJ,VD,CNJ,DET,increased,or,declined,as,the,VD_CNJ,CNJ_CNJ,CNJ_DET,VD
233185,10512,CNJ,VD,CNJ,DET,N,or,declined,as,the,proportion,CNJ_VD,VD_DET,DET_N,P
233186,10512,VD,CNJ,DET,N,P,declined,as,the,proportion,of,VD_CNJ,CNJ_N,N_P,DET
233187,10512,CNJ,DET,N,P,N,as,the,proportion,of,church,CNJ_DET,DET_P,P_N,N
233188,10512,DET,N,P,N,N,the,proportion,of,church,members,DET_N,N_N,N_N,P
233189,10512,N,P,N,N,P,proportion,of,church,members,in,N_P,P_N,N_P,N
233190,10512,P,N,N,P,DET,of,church,members,in,the,P_N,N_P,P_DET,N
233191,10512,N,N,P,DET,N,church,members,in,the,population,N_N,N_DET,DET_N,P
233192,10512,N,P,DET,N,VD,members,in,the,population,rose,N_P,P_N,N_VD,DET
233193,10512,P,DET,N,VD,.,in,the,population,rose,.,P_DET,DET_VD,VD_.,N
233194,10512,DET,N,VD,.,end,the,population,rose,.,,DET_N,N_.,._end,N
233195,10512,N,VD,.,end,end,population,rose,.,,,N_VD,VD_end,end_end,.
237346,10685,start,start,(,NUM,),,,(,3,),start_start,start_NUM,NUM_),(
237347,10685,start,(,NUM,),end,,(,3,),,start_(,(_),)_end,NUM
237348,10685,(,NUM,),end,end,(,3,),,,(_NUM,NUM_end,end_end,)
244206,11102,start,start,UH,",",PRO,,,Oh,",",you'll,start_start,"start_,",",_PRO",UH
244207,11102,start,UH,",",PRO,V,,Oh,",",you'll,wobble,start_UH,UH_PRO,PRO_V,","
244208,11102,UH,",",PRO,V,CNJ,Oh,",",you'll,wobble,and,"UH_,",",_V",V_CNJ,PRO
244209,11102,",",PRO,V,CNJ,V,",",you'll,wobble,and,weave,",_PRO",PRO_CNJ,CNJ_V,V
244210,11102,PRO,V,CNJ,V,DET,you'll,wobble,and,weave,quite,PRO_V,V_V,V_DET,CNJ
244211,11102,V,CNJ,V,DET,DET,wobble,and,weave,quite,a,V_CNJ,CNJ_DET,DET_DET,V
244212,11102,CNJ,V,DET,DET,N,and,weave,quite,a,bit,CNJ_V,V_DET,DET_N,P
244213,11102,V,DET,DET,N,P,weave,quite,a,bit,at,V_DET,DET_N,N_P,DET
244214,11102,DET,DET,N,P,ADV,quite,a,bit,at,first,DET_DET,DET_P,P_ADV,N
244215,11102,DET,N,P,ADV,.,a,bit,at,first,.,DET_N,N_ADV,ADV_.,P
244216,11102,N,P,ADV,.,end,bit,at,first,.,,N_P,P_.,._end,NUM
244217,11102,P,ADV,.,end,end,at,first,.,,,P_ADV,ADV_end,end_end,.
244900,11142,start,start,DET,ADV,CNJ,,,As,soon,as,start_start,start_ADV,ADV_CNJ,DET
244901,11142,start,DET,ADV,CNJ,PRO,,As,soon,as,they,start_DET,DET_CNJ,CNJ_PRO,ADV
244902,11142,DET,ADV,CNJ,PRO,V,As,soon,as,they,are,DET_ADV,ADV_PRO,PRO_V,CNJ
244903,11142,ADV,CNJ,PRO,V,ADJ,soon,as,they,are,large,ADV_CNJ,CNJ_V,V_ADJ,PRO
244904,11142,CNJ,PRO,V,ADJ,DET,as,they,are,large,enough,CNJ_PRO,PRO_ADJ,ADJ_DET,V
244905,11142,PRO,V,ADJ,DET,TO,they,are,large,enough,to,PRO_V,V_DET,DET_TO,ADJ
244906,11142,V,ADJ,DET,TO,V,are,large,enough,to,move,V_ADJ,ADJ_TO,TO_V,DET
244907,11142,ADJ,DET,TO,V,",",large,enough,to,move,",",ADJ_DET,DET_V,"V_,",TO
244908,11142,DET,TO,V,",",PRO,enough,to,move,",",I,DET_TO,"TO_,",",_PRO",V
244909,11142,TO,V,",",PRO,V,to,move,",",I,put,TO_V,V_PRO,PRO_V,","
244910,11142,V,",",PRO,V,PRO,move,",",I,put,mine,"V_,",",_V",V_PRO,PRO
244911,11142,",",PRO,V,PRO,NUM,",",I,put,mine,9,",_PRO",PRO_PRO,PRO_NUM,V
244912,11142,PRO,V,PRO,NUM,N,I,put,mine,9,inches,PRO_V,V_NUM,NUM_N,N
244913,11142,V,PRO,NUM,N,ADV,put,mine,9,inches,apart,V_PRO,PRO_N,N_ADV,NUM
244914,11142,PRO,NUM,N,ADV,WH,mine,9,inches,apart,where,PRO_NUM,NUM_ADV,ADV_WH,N
244915,11142,NUM,N,ADV,WH,PRO,9,inches,apart,where,they,NUM_N,N_WH,WH_PRO,ADV
244916,11142,N,ADV,WH,PRO,V,inches,apart,where,they,are,N_ADV,ADV_PRO,PRO_V,WH
244917,11142,ADV,WH,PRO,V,TO,apart,where,they,are,to,ADV_WH,WH_V,V_TO,PRO
244918,11142,WH,PRO,V,TO,V,where,they,are,to,bloom,WH_PRO,PRO_TO,TO_V,V
244919,11142,PRO,V,TO,V,.,they,are,to,bloom,.,PRO_V,V_V,V_.,P
244920,11142,V,TO,V,.,end,are,to,bloom,.,,V_TO,TO_.,._end,V
244921,11142,TO,V,.,end,end,to,bloom,.,,,TO_V,V_end,end_end,.
264601,12126,start,start,N,N,V,,,Stock,design,is,start_start,start_N,N_V,N
264602,12126,start,N,N,V,ADJ,,Stock,design,is,excellent,start_N,N_V,V_ADJ,N
264603,12126,N,N,V,ADJ,",",Stock,design,is,excellent,",",N_N,N_ADJ,"ADJ_,",V
264604,12126,N,V,ADJ,",",CNJ,design,is,excellent,",",and,N_V,"V_,",",_CNJ",ADJ
